dataset,RCT_tree_id,segment_id,RCT_X,RCT_Y,RCT_height,RCT_DBH,crown_radius,total_vol_L,candidate_status,assigned_GT_ID,assigned_distance_m,nearest_GT_ID,nearest_GT_distance_m,source_candidate_csv,GT_ID_final,represented_GT_IDs,QC_class,include_in_GT_detection,GT_detection_credit,include_in_attribute_accuracy,additional_physical_tree_credit,additional_individual_instance_credit,QC_notes,scanner,GT_ID,status,include_TH_DBH,include_detection,attribute_source
cht_jednoskener_nogrid,11,10,17.8353,5.4887,24.6232,0.319,4.4255,1580.3,assigned_to_GT,14.0,0.4595885553942918,14,0.4595885553942918,cht_jednoskener_nogrid_tree_attributes.csv,14,14,validated_primary_match,True,1,True,0,0,Validated one-to-one correspondence with GT14; included in detection and TH/DBH accuracy. Cleaned J10 could not be reconstructed by rayextract; original TH/DBH retained as a documented reprocessing exception.,Jednoskenner,14,validated_primary_match,True,True,original_reprocessing_exception
cht_jednoskener_nogrid,12,11,19.2486,-11.198,26.524,0.4682,4.6319,2762.4999999999995,assigned_to_GT,6.0,0.6125926276987996,6,0.6125926276987996,cht_jednoskener_nogrid_tree_attributes.csv,6,6,validated_primary_match,True,1,True,0,0,Validated one-to-one correspondence with GT6; included in detection and TH/DBH accuracy.,Jednoskenner,6,validated_primary_match,True,True,cleaned
cht_jednoskener_nogrid,13,12,19.0211,0.5105,3.0029,0.0344,1.7894,4.6,unmatched_RCT_candidate,,,16,2.942706384427238,cht_jednoskener_nogrid_tree_attributes.csv,,,genuine_unrecorded_fallen_tree,False,0,False,0,0,Genuine fallen/strongly leaning tree absent from GT; excluded from standing-tree detection and TH/DBH accuracy.,Jednoskenner,,genuine_unrecorded_fallen_tree,False,False,original
cht_jednoskener_nogrid,14,13,19.8439,1.7495,5.1372,0.1086,2.0592,31.5,unmatched_RCT_candidate,,,16,2.296963780594391,cht_jednoskener_nogrid_tree_attributes.csv,,,genuine_unrecorded_tree,False,0,False,1,1,Small standing tree absent from GT. Retained as a genuine additional tree but excluded from GT-based accuracy.,Jednoskenner,,genuine_unrecorded_tree,False,False,original
cht_jednoskener_nogrid,15,14,20.5571,6.3618,14.6515,0.2336,2.8662,329.90000000000003,assigned_to_GT,36.0,0.8216629059071717,35,0.6236518418361059,cht_jednoskener_nogrid_tree_attributes.csv,,35;36,merged_GT_trees,True,1,False,0,0,One RCT segment merges the two separate physical trees GT35 and GT36. Counts as one individual-tree detection for the pair and is excluded from TH/DBH accuracy.,Jednoskenner,,merged_GT_trees,False,True,original
cht_jednoskener_nogrid,16,15,21.9292,-3.4039,2.3046,0.0384,1.0367,2.1,assigned_to_GT,7.0,5.839717835550855,23,3.0707923811243765,cht_jednoskener_nogrid_tree_attributes.csv,,,genuine_unrecorded_tree,False,0,False,1,1,Small standing tree absent from GT. Retained as a genuine additional tree but excluded from GT-based accuracy.,Jednoskenner,,genuine_unrecorded_tree,False,False,original
cht_jednoskener_nogrid,17,16,20.7143,11.3643,12.1736,0.2691,3.4795,6194.1,unmatched_RCT_candidate,,,18,4.248578986324623,cht_jednoskener_nogrid_tree_attributes.csv,,,genuine_unrecorded_tree,False,0,False,1,1,Small standing tree absent from GT; represented adequately and excluded from GT-based accuracy.,Jednoskenner,,genuine_unrecorded_tree,False,False,original
cht_jednoskener_nogrid,18,17,21.222,0.4957,24.9498,0.2494,3.3392,979.7,assigned_to_GT,16.0,0.7964414833240623,16,0.7964414833240623,cht_jednoskener_nogrid_tree_attributes.csv,16,16,validated_primary_match,True,1,True,0,0,Validated one-to-one correspondence with GT16; included in detection and TH/DBH accuracy.,Jednoskenner,16,validated_primary_match,True,True,cleaned
cht_jednoskener_nogrid,19,18,23.0709,8.1926,20.0895,0.262,4.1097,521.0,assigned_to_GT,18.0,0.5968826350343921,18,0.5968826350343921,cht_jednoskener_nogrid_tree_attributes.csv,18,18,validated_primary_match,True,1,True,0,0,Validated one-to-one correspondence with GT18; included in detection and TH/DBH accuracy.,Jednoskenner,18,validated_primary_match,True,True,cleaned
cht_jednoskener_nogrid,20,19,24.5093,-13.9985,26.4362,0.3442,3.6639,1500.7,assigned_to_GT,2.0,0.4999261416716337,2,0.4999261416716337,cht_jednoskener_nogrid_tree_attributes.csv,2,2,validated_primary_match,True,1,True,0,0,Validated one-to-one correspondence with GT2; included in detection and TH/DBH accuracy.,Jednoskenner,2,validated_primary_match,True,True,cleaned
cht_jednoskener_nogrid,21,20,23.7077,-8.5232,25.0209,0.2358,3.4685,934.9,assigned_to_GT,3.0,0.5059302457658845,3,0.5059302457658845,cht_jednoskener_nogrid_tree_attributes.csv,3,3,validated_primary_match,True,1,True,0,0,Validated one-to-one correspondence with GT3; included in detection and TH/DBH accuracy.,Jednoskenner,3,validated_primary_match,True,True,cleaned
cht_jednoskener_nogrid,22,21,23.4492,2.0172,4.7221,0.1076,1.3513,24.2,assigned_to_GT,23.0,4.7352470788398575,16,1.9174876732158093,cht_jednoskener_nogrid_tree_attributes.csv,,,genuine_unrecorded_tree,False,0,False,1,1,Small standing tree absent from GT. Retained as a genuine additional tree but excluded from GT-based accuracy.,Jednoskenner,,genuine_unrecorded_tree,False,False,original
cht_jednoskener_nogrid,23,22,23.8452,12.2144,3.8019,0.0299,2.3263,15.9,unmatched_RCT_candidate,,,18,3.91816854314881,cht_jednoskener_nogrid_tree_attributes.csv,,,rejected_non_tree_segment,False,0,False,0,0,Did not correspond to a recognisable physical tree or coherent stem in the raw point cloud; rejected during visual QC.,Jednoskenner,,rejected_non_tree_segment,False,False,original
cht_jednoskener_nogrid,24,23,24.9503,-2.8597,27.326,0.5382,3.6387,3237.2000000000003,assigned_to_GT,24.0,0.1014474248818174,24,0.1014474248818174,cht_jednoskener_nogrid_tree_attributes.csv,,23;24,merged_GT_trees,True,1,False,0,0,One RCT segment merges the two separate physical trees GT23 and GT24. Counts as one individual-tree detection for the pair and is excluded from TH/DBH accuracy.,Jednoskenner,,merged_GT_trees,False,True,original
cht_jednoskener_nogrid,25,24,25.5596,3.4115,25.8405,0.3064,3.6495,1663.7,assigned_to_GT,19.0,0.2920144463329392,19,0.2920144463329392,cht_jednoskener_nogrid_tree_attributes.csv,19,19,validated_primary_match,True,1,True,0,0,Validated one-to-one correspondence with GT19; included in detection and TH/DBH accuracy.,Jednoskenner,19,validated_primary_match,True,True,cleaned
cht_jednoskener_nogrid,26,25,26.2347,8.0333,10.1418,0.1535,3.7805,100.4,assigned_to_GT,37.0,0.3628053591088362,37,0.3628053591088362,cht_jednoskener_nogrid_tree_attributes.csv,37,37,validated_primary_match,True,1,True,0,0,Validated one-to-one correspondence with GT37; included in detection and TH/DBH accuracy.,Jednoskenner,37,validated_primary_match,True,True,cleaned
cht_jednoskener_nogrid,27,26,27.3349,-13.0639,25.5015,0.3062,4.1233,1735.5,assigned_to_GT,1.0,0.292141461160233,1,0.292141461160233,cht_jednoskener_nogrid_tree_attributes.csv,1,1,validated_primary_match,True,1,True,0,0,Validated one-to-one correspondence with GT1; included in detection and TH/DBH accuracy.,Jednoskenner,1,validated_primary_match,True,True,original
cht_jednoskener_nogrid,28,27,29.5838,-5.5817,26.1949,0.441,4.1393,3067.4,assigned_to_GT,28.0,0.2146937074835597,28,0.2146937074835597,cht_jednoskener_nogrid_tree_attributes.csv,28,28,validated_primary_match,True,1,True,0,0,Validated one-to-one correspondence with GT28; included in detection and TH/DBH accuracy.,Jednoskenner,28,validated_primary_match,True,True,cleaned
cht_jednoskener_nogrid,29,28,29.1004,-2.6306,25.3713,0.3384,3.6752,1231.3,assigned_to_GT,25.0,0.075304254456955,25,0.075304254456955,cht_jednoskener_nogrid_tree_attributes.csv,25,25,validated_primary_match,True,1,True,0,0,Validated one-to-one correspondence with GT25; included in detection and TH/DBH accuracy.,Jednoskenner,25,validated_primary_match,True,True,cleaned
cht_jednoskener_nogrid,30,29,29.4552,4.4275,24.2293,0.309,3.3653,1477.8,assigned_to_GT,20.0,0.5723416776035565,20,0.5723416776035565,cht_jednoskener_nogrid_tree_attributes.csv,20,20,validated_primary_match_after_manual_split,True,1,True,1,0,Original J29 contained GT20 plus an unrecorded neighbouring tree. The two trees were manually separated in CloudCompare; the cleaned GT20 component was reprocessed successfully as one tree.,Jednoskenner,20,validated_primary_match_after_manual_split,True,True,cleaned
cht_jednoskener_nogrid,31,30,32.0379,-7.1676,27.1846,0.2514,3.8,1145.7,assigned_to_GT,29.0,0.2506708225735748,29,0.2506708225735748,cht_jednoskener_nogrid_tree_attributes.csv,29,29,validated_primary_match,True,1,True,0,0,Validated one-to-one correspondence with GT29; included in detection and TH/DBH accuracy.,Jednoskenner,29,validated_primary_match,True,True,cleaned
cht_jednoskener_nogrid,32,31,32.7638,-9.4936,22.7498,0.3836,3.0733,1874.4,assigned_to_GT,30.0,0.4544222949458519,30,0.4544222949458519,cht_jednoskener_nogrid_tree_attributes.csv,30,30,validated_primary_match,True,1,True,0,0,Validated one-to-one correspondence with GT30; included in detection and TH/DBH accuracy.,Jednoskenner,30,validated_primary_match,True,True,cleaned
cht_jednoskener_nogrid,33,32,33.3932,-4.4004,19.9323,0.2924,3.8523,637.9,assigned_to_GT,26.0,0.3247643153936183,26,0.3247643153936183,cht_jednoskener_nogrid_tree_attributes.csv,26,26,validated_primary_match,True,1,True,0,0,Validated one-to-one correspondence with GT26; included in detection and TH/DBH accuracy.,Jednoskenner,26,validated_primary_match,True,True,cleaned
cht_jednoskener_nogrid,34,33,17.7245,7.0685,5.1498,0.1042,2.1787,34.99999999999999,assigned_to_GT,13.0,0.7944585477874418,13,0.7944585477874418,cht_jednoskener_nogrid_tree_attributes.csv,,,rejected_non_tree_segment,False,0,False,0,0,Standalone RCT candidate listed as a non-matching/ignore segment and not associated with a coherent physical tree during QC.,Jednoskenner,,rejected_non_tree_segment,False,False,original
cht_jednoskener_nogrid,35,34,18.426,9.6317,2.6525,0.0133,1.2195,2.1,unmatched_RCT_candidate,,,13,3.385436881891957,cht_jednoskener_nogrid_tree_attributes.csv,,,genuine_unrecorded_tree,False,0,False,1,1,Small standing tree absent from GT; confirmed across all three scanners. Retained as a genuine additional tree but excluded from GT-based accuracy.,Jednoskenner,,genuine_unrecorded_tree,False,False,original
cht_jednoskener_nogrid,36,35,18.7682,3.8077,6.1767,0.1282,2.1557,51.1,assigned_to_GT,35.0,2.94327282560575,14,1.9476606828882708,cht_jednoskener_nogrid_tree_attributes.csv,,,genuine_unrecorded_tree,False,0,False,1,1,Genuine unrecorded standing tree A; separate individual segment in this scanner.,Jednoskenner,,genuine_unrecorded_tree,False,False,original
cht_jednoskener_nogrid,37,36,18.6464,3.8655,6.6757,0.1172,2.2919,41.3,unmatched_RCT_candidate,,,14,1.8623740251395025,cht_jednoskener_nogrid_tree_attributes.csv,,,genuine_unrecorded_tree,False,0,False,1,1,Genuine unrecorded standing tree B; separate individual segment in this scanner.,Jednoskenner,,genuine_unrecorded_tree,False,False,original
cht_jednoskener_nogrid,38,37,19.903,2.4107,3.9116,0.0745,1.3864,12.0,unmatched_RCT_candidate,,,16,2.58647504496076,cht_jednoskener_nogrid_tree_attributes.csv,,,rejected_non_tree_segment,False,0,False,0,0,Did not correspond to a recognisable physical tree or coherent stem in the raw point cloud; rejected during visual QC.,Jednoskenner,,rejected_non_tree_segment,False,False,original
cht_jednoskener_nogrid,39,38,19.1382,1.7819,2.0532,0.0,1.3008,0.8,unmatched_RCT_candidate,,,16,2.967005275023576,cht_jednoskener_nogrid_tree_attributes.csv,,,rejected_non_tree_segment,False,0,False,0,0,Standalone RCT candidate listed as a non-matching/ignore segment and not associated with a coherent physical tree during QC.,Jednoskenner,,rejected_non_tree_segment,False,False,original
cht_jednoskener_nogrid,40,39,19.7101,2.6902,3.9461,0.0672,1.2003,9.8,unmatched_RCT_candidate,,,16,2.912002585456905,cht_jednoskener_nogrid_tree_attributes.csv,,,rejected_non_tree_segment,False,0,False,0,0,Did not correspond to a recognisable physical tree or coherent stem in the raw point cloud; rejected during visual QC.,Jednoskenner,,rejected_non_tree_segment,False,False,original
cht_jednoskener_nogrid,41,40,20.966,12.6694,2.0724,0.0,1.6441,0.2,unmatched_RCT_candidate,,,18,5.13145503776062,cht_jednoskener_nogrid_tree_attributes.csv,,,rejected_non_tree_segment,False,0,False,0,0,Standalone RCT candidate listed as a non-matching/ignore segment and not associated with a coherent physical tree during QC.,Jednoskenner,,rejected_non_tree_segment,False,False,original
cht_jednoskener_nogrid,42,41,24.5639,-14.7335,11.4801,0.15,1.4593,140.8,assigned_to_GT,5.0,0.4750398618537662,5,0.4750398618537662,cht_jednoskener_nogrid_tree_attributes.csv,5,5,validated_primary_match,True,1,True,0,0,Validated one-to-one correspondence with GT5; included in detection and TH/DBH accuracy.,Jednoskenner,5,validated_primary_match,True,True,original
cht_jednoskener_nogrid,43,42,25.7433,7.9301,3.0113,0.0578,1.7696,8.200000000000001,unmatched_RCT_candidate,,,37,0.612020630574978,cht_jednoskener_nogrid_tree_attributes.csv,,,rejected_non_tree_segment,False,0,False,0,0,Standalone RCT candidate listed as a non-matching/ignore segment and not associated with a coherent physical tree during QC.,Jednoskenner,,rejected_non_tree_segment,False,False,original
